id,name,type
1295720,Apur Sansar, 剧情
1300555,Back to the Future, 喜剧 科幻 冒险
1293095,This Is Spinal Tap, 喜剧 音乐
1292840,The Philadelphia Story, 喜剧 爱情
1295943,A Canterbury Tale, 剧情 喜剧 悬疑 战争
1291937,Todo sobre mi madre, 剧情
1292812,Harold and Maude, 剧情 喜剧
1300572,The Time to Live and the Time to Die, 剧情 家庭 传记
1292208,Cidade de Deus, 剧情 犯罪
1299665,Peeping Tom, 剧情 惊悚 犯罪
1300660,Berlin Alexanderplatz, 剧情
1297756,Snow White and the Seven Dwarfs, 爱情 动画 歌舞 家庭 奇幻
1299603,Reservoir Dogs, 惊悚 犯罪
1295578,Dawn of the Dead, 动作 恐怖
1298026,The Last Picture Show, 剧情
1299261,Il deserto rosso, 剧情
1303723,Stranger Than Paradise, 剧情 喜剧
1295225,West Side Story, 剧情 爱情 歌舞 犯罪
1302017,Make Way for Tomorrow, 剧情
1436764,Orph, 剧情 爱情 奇幻
1306490,A Touch of Zen, 剧情 动作 武侠 古装
1293374,Dog Day Afternoon, 剧情 喜剧 犯罪
1297991,To Kill a Mockingbird, 剧情 悬疑 犯罪
1303569,Kiss Me Deadly, 剧情 惊悚 犯罪 黑色电影
1293322,How Green Was My Valley, 剧情 家庭
1297628,Midnight Cowboy, 剧情
1302012,Bride of Frankenstein, 科幻 恐怖
1295686,Heat, 剧情 动作 惊悚 犯罪
1293399,Amadeus, 剧情 音乐 传记
1295684,It Happened One Night, 喜剧 爱情
1298759,Dogville, 剧情 悬疑 惊悚
1499492,The House Is Black, 纪录片 短片
1401529,El sol del membrillo, 剧情 纪录片 传记
1401612,Salvatore Giuliano, 剧情 悬疑 历史 战争 犯罪
1297130,Teorema, 剧情 悬疑 情色
1304310,Le voyage dans la lune, 科幻 短片 奇幻 冒险
1303459,Lost Highway, 剧情 悬疑 惊悚
1294421,Ivanovo detstvo, 剧情 战争
1291877,La double vie de V, 剧情 爱情 奇幻
1303417,The Palm Beach Story, 喜剧 爱情
1292679,Happy Together, 剧情 爱情 同性
1416898,Werckmeister harm, 剧情 悬疑
1294252,Landscape in the Mist, 剧情
1295812,Suna no onna, 剧情 惊悚
1296332,Suspiria, 恐怖
1291556,Nostalghia, 剧情
1302279,Russian Ark, 剧情 历史 奇幻
1301648,Les Demoiselles de Rochefort, 剧情 喜剧 歌舞
1293320,An Affair to Remember, 剧情 喜剧 爱情
1292772,The King of Comedy, 剧情 喜剧 犯罪
1291876,Yellow Earth, 剧情 音乐
1294958,The Bridge on the River Kwai, 剧情 历史 战争
1292908,Festen, 剧情
1855338,Wanda, 剧情 犯罪
1303345,All That Heaven Allows, 剧情 爱情
1300323,In einem Jahr mit 13 Monden, 剧情 同性
1298095,Tirez sur le pianiste, 剧情 爱情 惊悚 犯罪
1297602,Butch Cassidy and the Sundance Kid, 剧情 犯罪 西部 冒险
1309215,Tie Xi Qu: West of the Tracks - Part 1: Rust, 纪录片
1293200,The Elephant Man, 剧情 传记
1293544,The Silence of the Lambs, 剧情 惊悚 犯罪
1785241,Vidas Secas, 剧情
1293663,Tengoku to jigoku, 剧情 犯罪
1300956,Novecento, 剧情 爱情 历史 战争
1300353,Ultimo tango a Parigi, 剧情 爱情 情色
1307973,If...., 剧情
2131459,WALL, 科幻 动画 冒险
1294825,The Innocents, 惊悚 恐怖
1418834,Brokeback Mountain, 剧情 爱情 同性 家庭
1292981,Scener ur ett, 剧情 爱情
1296500,Sedmikr, 剧情 喜剧
1292664,Carrie, 剧情 恐怖
1293299,La nuit am, 剧情 喜剧 爱情
1292768,Opening Night, 剧情
1299517,The Hustler, 剧情 爱情 运动
1401595,"Las Hurdes, tierra sin pan", 纪录片 短片
1292515,The Bodyguard, 剧情 动作 惊悚 犯罪
1301655,Tristana, 剧情
1305223,Dont Look Back, 纪录片 音乐
1466419,L'arm, 剧情 战争
1308333,I Know Where I'm Going!, 剧情 爱情
1291850,Platform, 剧情 历史
1292881,Life of Brian, 喜剧
1297531,Network, 剧情
1460605,Meghe Dhaka Tara, 剧情
1298192,Five Easy Pieces, 剧情
1297549,The Cameraman, 剧情 喜剧 爱情 家庭
1293323,Raise The Red Lantern, 剧情
1301168,"Crouching Tiger, Hidden Dragon", 剧情 爱情 武侠
1297105,Fitzcarraldo, 剧情 传记 冒险
1468782,Charulata, 剧情 爱情
1297646,Easy Rider, 剧情
1303150,Man of Aran, 纪录片
1400829,Mon Oncle, 喜剧
1300211,Punch-Drunk Love, 剧情 喜剧 爱情
3285632,A Torin, 剧情
1420238,Nun va Goldoon, 剧情 喜剧 爱情
1292052,The Shawshank Redemption, 剧情 犯罪
1295905,Heaven's Gate, 剧情 历史 西部
1477852,"Out 1, noli me tangere", 剧情 喜剧 惊悚
1303081,Ostre sledovan, 剧情 喜剧 战争
1299236,The Long Goodbye, 剧情 悬疑 惊悚 犯罪
2464346,Das wei, 剧情 悬疑
1295619,A Star Is Born, 剧情 爱情 歌舞
1295167,Shadows, 剧情
1868546,Two-lane Blacktop, 剧情
1769364,Moartea domnului L, 剧情
1293074,French Cancan, 剧情 喜剧 爱情 歌舞
1293297,Dead Ringers, 剧情 爱情 惊悚
1302077,Letyat zhuravli, 剧情 爱情 战争
4280102,Loong Boonmee raleuk chat, 剧情 奇幻
1848300,Le plaisir, 剧情 喜剧
1297918,The Awful Truth, 喜剧 爱情
1292000,Fight Club, 剧情 动作 悬疑 惊悚
1303529,The Dead, 剧情
1292211,Hable con ella, 剧情 爱情
1294408,The Sound of Music, 剧情 爱情 歌舞 传记
1303572,Senso, 剧情 爱情 历史 战争
2245725,Hora de los hornos, 纪录片 历史 战争
1301151,Vargtimmen, 剧情 恐怖
1300464,Chelsea Girls, 剧情
1301279,Les glaneurs et la glaneuse, 纪录片
1306266,L'albero degli zoccoli, 剧情 历史
1300656,The Terminator, 动作 科幻 惊悚
1291835,Lost in Translation, 剧情 爱情
1401842,Early Summer, 剧情 家庭
1295073,Le chagrin et la piti, 纪录片 历史 战争
1298465,The Scarlet Empress, 剧情 爱情 历史
1300522,Masculin f, 剧情
1298202,Koyaanisqatsi, 纪录片 音乐
1294698,To Have and Have Not, 喜剧 爱情 冒险
1303451,Flowers of Shanghai, 剧情
1301647,Repulsion, 剧情 惊悚
1310179,Fantasia, 动画 音乐 奇幻
1292757,Pinocchio, 剧情 动画 音乐 奇幻
1304857,Withnail & I, 剧情 喜剧
1300034,Dersu Uzala, 剧情 冒险
1292272,Elephant, 剧情 犯罪
1296177,Taste of Cherry, 剧情
1437013,Accattone, 剧情
